GENE_SYMBOL	ID_REF	GSM32828	GSM32829
Dmrtb1	101417_at	156.7	191.7
Tubb4	101419_at	141.4	205.7
Rnf5	101421_at	2096.1	1459.3
Fnbp4	101422_at	795.9	573.8
Ddx46	101423_at	889.5	243.5
Nmi	101424_at	250.9	340.1
Gss	101425_at	1231	8.8
Cerk	101426_at	413.4	221.9
Ace	101428_at	22.1	89.7
Ddit3	101429_at	283.1	656.7
Sox4	101430_at	2611.7	2251.7
Rdh5	101431_at	166.6	398.2
Trp53i13	101432_at	518.5	358.5
Slk	101437_at	479	221.7
Arl6	101439_at	984.9	855.7
Macrod2	101440_at	225.8	442.4
Itpr2	101441_i_at	495.2	125.8
Plekhh1	101443_at	295.1	285.5
Thumpd3	101444_at	1315.1	1110.7
Dnmt1	101445_at	1792.4	2714
Apc	101447_at	539.7	286.5
Hgs	101448_at	4403.5	4216.3
Trim41	101449_at	914.2	690.3
Csf1	101450_at	12194.6	7361.3
Mia1	101453_at	154.9	256.8
Umps	101455_at	400.6	267.4
Zfp106	101456_at	1594.3	1185.8
Jak2	101457_at	176.7	288.6
Wee1	101458_at	401.6	485.4
Chd1	101459_at	1448	920.7
Pja1	101461_f_at	5363.1	4950.2
Pja1	101462_r_at	90.8	283.6
Timp1	101464_at	27669.4	30047.7
Stat1	101465_at	500.3	347.5
Pigf	101466_at	385.4	641.5
