"","GSM1387702","GSM1387703","GSM1387700","GSM1387701"
"B3GNT6:1552834_at",NA,NA,NA,NA
"DENND1B:1552835_at",2.20476675065461,2.09423606984577,2.57288966842058,3.19692173382033
"ZNF619:1552836_at",NA,NA,NA,NA
"ICK:1552837_at",NA,NA,NA,NA
"FAM71D:1552839_at",2.26002565596146,3.81044310384517,3.46466826700344,2.02147972741045
"BCL2L14:1552841_s_at",NA,NA,NA,NA
"HS6ST3:1552842_at",2.04614178164472,0,0.422233000683048,0.650764559116902
"SLC26A1:1552843_at",NA,NA,NA,NA
"CLDN15:1552845_at",NA,NA,NA,NA
"RAB42:1552846_s_at",3.22958792274065,3.51475349843975,0.545968369105293,3.39231742277876
"PTCHD1:1552848_a_at",NA,NA,NA,NA
"M1AP:1552849_at",NA,NA,NA,NA
"ZSCAN4:1552851_at",NA,NA,NA,NA
"ZSCAN4:1552852_a_at",NA,NA,NA,NA
"VWA5B1:1552853_at",NA,NA,NA,NA
"VWA5B1:1552854_a_at",NA,NA,NA,NA
"LINC00311:1552856_at",NA,NA,NA,NA
"HTR6:1552857_a_at",NA,NA,NA,NA
"MAGEB6:1552858_at",3.16510798514454,3.03386345186628,3.05137210172103,3.43962313755712
"LOC101930171///LOC101930165///LOC101929858///LOC101060464///TCEB3CL2///TCEB3CL///TCEB3C:1552860_at",NA,NA,NA,NA
"RUSC1-AS1:1552862_at",NA,NA,NA,NA
"CACNG6:1552863_a_at",NA,NA,NA,NA
"LMNTD1:1552865_a_at",NA,NA,NA,NA
":1552867_at",4.18824265626441,4.27052894238072,3.22032995487956,3.78031009904338
